census_tract,Longitude,Latitude,EV Level1 EVSE Num,EV Level1 Power Output (kW),EV Level2 EVSE Num,EV Level2 Power Output (kW),EV DC Fast Count,EV CHAdeMO Connector Count,EV CHAdeMO Power Output (kW),EV CCS Connector Count,EV CCS Power Output (kW),EV J3400 Connector Count,EV J3400 Power Output (kW),EV other DC Fast Count,EV other DC Fast Power Output (kW)
06001403000,-122.271681,37.800489,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403000,-122.271617,37.800438,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001407500,-122.191359,37.771418,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001407500,-122.191358,37.771466,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001407500,-122.191376,37.771513,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403402,-122.265143,37.800631,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.277788,37.80024,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.277739,37.800232,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.277927,37.800285,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.277959,37.800321,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.277841,37.800251,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.277648,37.800309,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.277713,37.800313,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.275718,37.804687,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.275718,37.804678,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.275728,37.804738,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001425102,-122.294054,37.842371,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422000,-122.299482,37.868258,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422000,-122.29943,37.868196,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001423500,-122.267649,37.861495,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001423500,-122.267464,37.861775,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001423500,-122.267671,37.861612,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001402802,-122.272404,37.806119,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001425102,-122.296292,37.842989,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.275988,37.802264,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.27586,37.802378,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.275784,37.802297,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.27578,37.802259,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.275848,37.802177,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
